,Longitude,Latitude,avg,COUNTRY,SPECIES NAME,DBH-1,DBH-2,NFI,FF,BS
71,13.25,49.25,13.057738095238092,Austria,Abies alba,-9999,1,1,-9999,-9999
72,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
73,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
74,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
75,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
76,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
77,14.25,46.25,15.459523809523814,Austria,Abies alba,1,1,1,-9999,-9999
78,15.25,49.25,13.989285714285714,Austria,Abies alba,-9999,1,1,-9999,-9999
79,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
80,12.25,47.25,14.019047619047619,Austria,Abies alba,1,1,1,-9999,-9999
81,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
82,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
83,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
84,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
85,10.25,48.25,14.423809523809522,Austria,Abies alba,-9999,1,1,-9999,-9999
86,15.25,47.25,13.53690476190476,Austria,Abies alba,-9999,1,1,-9999,-9999
87,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
88,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
89,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
90,16.25,48.25,16.19821428571429,Austria,Abies alba,-9999,1,1,-9999,-9999
91,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
92,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
93,10.25,47.25,12.841071428571427,Austria,Abies alba,1,1,1,-9999,-9999
94,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
95,14.25,49.25,14.766666666666667,Austria,Abies alba,-9999,1,1,-9999,-9999
96,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
97,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
98,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
99,16.25,48.25,16.19821428571429,Austria,Abies alba,-9999,1,1,-9999,-9999
100,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
101,11.25,47.25,14.820833333333335,Austria,Abies alba,-9999,1,1,-9999,-9999
102,16.25,49.25,14.948809523809528,Austria,Abies alba,1,1,1,-9999,-9999
